time,temp,salt,OXY_oxy
2016-01-01 24:00:00,    7.649151,    0.020685,   13.424293
2016-01-02 24:00:00,    6.922722,    0.012239,   19.642876
2016-01-03 24:00:00,    6.499373,    0.010398,   26.901351
2016-01-04 24:00:00,    6.193847,    0.009496,   33.724394
2016-01-05 24:00:00,    5.769524,    0.005899,   26.960108
2016-01-06 24:00:00,    5.680438,    0.006014,   34.631462
2016-01-07 24:00:00,    5.564996,    0.005989,   34.561372
2016-01-08 24:00:00,    1.801216,    0.000814,   36.417726
2016-01-09 24:00:00,    5.206960,    0.003896,   32.702272
2016-01-10 24:00:00,    4.683709,    0.003169,   33.958252
2016-01-11 24:00:00,    4.453007,    0.002823,   38.277654
2016-01-12 24:00:00,    4.334552,    0.002758,   45.967441
2016-01-13 24:00:00,    4.345341,    0.002758,   45.962170
2016-01-14 24:00:00,    4.356862,    0.002758,   45.957045
2016-01-15 24:00:00,    4.316851,    0.002748,   53.323112
2016-01-16 24:00:00,    4.324896,    0.002748,   53.317863
2016-01-17 24:00:00,    0.639195,    0.000023,    3.588736
2016-01-18 24:00:00,    1.126035,    0.000226,   18.012904
2016-01-19 24:00:00,    3.108774,    0.000268,   14.825170
2016-01-20 24:00:00,    4.362988,    0.000606,   22.391810
2016-01-21 24:00:00,    4.371940,    0.000606,   22.403424
2016-01-22 24:00:00,    4.382018,    0.000606,   22.402855
2016-01-23 24:00:00,    4.740024,    0.000606,   22.392707
2016-01-24 24:00:00,    3.814887,    0.000484,   99.304379
2016-01-25 24:00:00,    4.121441,    0.000474,  102.915783
2016-01-26 24:00:00,    4.148961,    0.000452,  103.397423
2016-01-27 24:00:00,    4.125005,    0.000451,  109.581009
2016-01-28 24:00:00,    4.132213,    0.000451,  109.572867
2016-01-29 24:00:00,    5.647723,    0.000168,   62.296796
2016-01-30 24:00:00,    5.257733,    0.000226,   84.167247
2016-01-31 24:00:00,    5.399546,    0.000316,   90.069009
2016-02-01 24:00:00,    6.274858,    0.000224,   66.643995
2016-02-02 24:00:00,    6.169694,    0.000229,   77.072290
2016-02-03 24:00:00,    6.225496,    0.000230,   81.728172
2016-02-04 24:00:00,    6.214463,    0.000227,   84.442005
2016-02-05 24:00:00,    6.006547,    0.000227,   88.177390
2016-02-06 24:00:00,    5.443650,    0.000162,   64.241878
2016-02-07 24:00:00,    1.989072,    0.000044,   22.156881
2016-02-08 24:00:00,    1.230982,    0.000015,    4.622811
2016-02-09 24:00:00,    3.185321,    0.000082,   37.924395
2016-02-10 24:00:00,    3.828937,    0.000068,   31.716903
2016-02-11 24:00:00,    8.320757,    0.000020,   10.061871
2016-02-12 24:00:00,    5.936737,    0.000051,   30.191020
2016-02-13 24:00:00,    5.682025,    0.000053,   29.885695
2016-02-14 24:00:00,    5.829623,    0.000047,   25.378591
2016-02-15 24:00:00,    5.636390,    0.000048,   25.489700
2016-02-16 24:00:00,    5.517649,    0.000054,   34.172916
2016-02-17 24:00:00,    5.554654,    0.000054,   34.172888
2016-02-18 24:00:00,    4.913915,    0.000049,   80.341223
2016-02-19 24:00:00,    4.940823,    0.000052,   68.566294
2016-02-20 24:00:00,    5.877242,    0.000046,   49.888344
2016-02-21 24:00:00,    6.034037,    0.000054,   56.880402
2016-02-22 24:00:00,    6.131157,    0.000054,   65.067378
2016-02-23 24:00:00,    6.249913,    0.000062,   71.968193
2016-02-24 24:00:00,    6.246872,    0.000070,   72.252671
2016-02-25 24:00:00,    5.707495,    0.000068,   62.661815
2016-02-26 24:00:00,    5.581222,    0.000075,   64.743240
2016-02-27 24:00:00,    4.241765,    0.000056,   43.843086
2016-02-28 24:00:00,    4.173596,    0.000046,   32.977297
2016-02-29 24:00:00,    5.607432,    0.000035,   22.946533
2016-03-01 24:00:00,    5.578026,    0.000043,   26.777912
2016-03-02 24:00:00,    5.876423,    0.000047,   27.461531
2016-03-03 24:00:00,    5.477516,    0.000049,   27.819730
2016-03-04 24:00:00,    4.255270,    0.000028,   15.131700
2016-03-05 24:00:00,    4.045055,    0.000030,   16.077616
2016-03-06 24:00:00,    3.531749,    0.000028,   14.812303
2016-03-07 24:00:00,    3.622213,    0.000038,   22.685345
2016-03-08 24:00:00,    3.934645,    0.000048,   27.778462
2016-03-09 24:00:00,    3.696630,    0.000054,   30.393837
2016-03-10 24:00:00,    3.693519,    0.000059,   38.551838
2016-03-11 24:00:00,    3.750612,    0.000059,   38.548841
2016-03-12 24:00:00,    3.739602,    0.000067,   46.563255
2016-03-13 24:00:00,    3.742943,    0.000072,   54.481369
2016-03-14 24:00:00,    3.753001,    0.000073,   62.737005
2016-03-15 24:00:00,    1.288156,    0.000070,   38.641227
2016-03-16 24:00:00,    3.785895,    0.000083,   55.400076
2016-03-17 24:00:00,    5.202351,    0.000082,   52.846544
2016-03-18 24:00:00,    6.080427,    0.000084,   52.905545
2016-03-19 24:00:00,    6.778200,    0.000089,   54.852202
2016-03-20 24:00:00,    6.970875,    0.000095,   62.070432
2016-03-21 24:00:00,    7.152852,    0.000102,   66.375304
2016-03-22 24:00:00,    7.210545,    0.000102,   66.374461
2016-03-23 24:00:00,    7.365033,    0.000114,   75.113520
2016-03-24 24:00:00,    7.706655,    0.000116,   75.302235
2016-03-25 24:00:00,    8.147874,    0.000105,   62.963953
2016-03-26 24:00:00,    7.829610,    0.000066,   39.132329
2016-03-27 24:00:00,    7.798546,    0.000083,   50.465532
2016-03-28 24:00:00,    7.646164,    0.000096,   52.552711
2016-03-29 24:00:00,    7.205899,    0.000088,   44.859970
2016-03-30 24:00:00,    6.932999,    0.000079,   38.779590
2016-03-31 24:00:00,    5.307125,    0.000045,   22.109830
2016-04-01 24:00:00,    4.693811,    0.000040,   20.111473
2016-04-02 24:00:00,    4.673842,    0.000041,   28.602486
2016-04-03 24:00:00,    4.676192,    0.000048,   36.971036
2016-04-04 24:00:00,    4.692036,    0.000057,   45.047574
2016-04-05 24:00:00,    4.785264,    0.000059,   54.441166
2016-04-06 24:00:00,    4.729181,    0.000065,   49.145460
2016-04-07 24:00:00,    4.520673,    0.000063,   44.060660
2016-04-08 24:00:00,    4.509868,    0.000068,   51.795484
2016-04-09 24:00:00,    3.878583,    0.000063,   44.594250
2016-04-10 24:00:00,    3.969692,    0.000059,   39.101401
2016-04-11 24:00:00,    4.477881,    0.000059,   39.112600
2016-04-12 24:00:00,    4.875457,    0.000060,   39.545613
2016-04-13 24:00:00,    6.114636,    0.000128,   15.544672
2016-04-14 24:00:00,    6.244896,    0.000149,   19.061157
2016-04-15 24:00:00,    6.427848,    0.000169,   37.981039
2016-04-16 24:00:00,    6.493836,    0.000169,   37.981807
2016-04-17 24:00:00,    6.552107,    0.000169,   37.981835
2016-04-18 24:00:00,    6.622319,    0.000169,   37.982097
2016-04-19 24:00:00,    6.765670,    0.000169,   37.981607
2016-04-20 24:00:00,    6.784924,    0.000169,   37.983091
2016-04-21 24:00:00,    5.764201,    0.000116,   53.146542
2016-04-22 24:00:00,    5.972937,    0.000116,   61.537373
2016-04-23 24:00:00,    6.269749,    0.000122,   68.667571
2016-04-24 24:00:00,    6.374509,    0.000128,   75.142950
2016-04-25 24:00:00,    6.481574,    0.000133,   78.784766
2016-04-26 24:00:00,    6.586256,    0.000112,   64.775408
2016-04-27 24:00:00,    6.900243,    0.000109,   44.361532
2016-04-28 24:00:00,    6.759578,    0.000125,   69.509455
2016-04-29 24:00:00,    7.002250,    0.000131,   73.294050
2016-04-30 24:00:00,    7.274960,    0.000136,   80.052826
2016-05-01 24:00:00,    7.540924,    0.000136,   87.791299
2016-05-02 24:00:00,   10.611776,    0.000037,   19.417844
2016-05-03 24:00:00,    8.856506,    0.000070,   39.968178
2016-05-04 24:00:00,    8.286420,    0.000087,   51.036790
2016-05-05 24:00:00,    7.898187,    0.000090,   52.251181
2016-05-06 24:00:00,    7.315865,    0.000095,   53.392172
2016-05-07 24:00:00,    7.001845,    0.000069,   36.771369
2016-05-08 24:00:00,    6.866491,    0.000068,   36.379871
2016-05-09 24:00:00,    6.677577,    0.000064,   33.914985
2016-05-10 24:00:00,    6.727150,    0.000068,   42.072052
2016-05-11 24:00:00,    7.022058,    0.000090,   53.263161
2016-05-12 24:00:00,    7.189625,    0.000096,   61.674775
2016-05-13 24:00:00,    6.948244,    0.000081,   55.791672
2016-05-14 24:00:00,    7.076338,    0.000083,   63.946305
2016-05-15 24:00:00,    7.629296,    0.000089,   65.143771
2016-05-16 24:00:00,   10.653431,    0.000031,   16.104708
2016-05-17 24:00:00,    9.560228,    0.000047,   24.122310
2016-05-18 24:00:00,    9.645605,    0.000047,   24.127577
2016-05-19 24:00:00,    9.741744,    0.000047,   24.125125
2016-05-20 24:00:00,   10.852681,    0.000128,   73.190919
2016-05-21 24:00:00,   11.224750,    0.000147,   78.667353
2016-05-22 24:00:00,   11.341445,    0.000147,   78.403198
2016-05-23 24:00:00,   11.019689,    0.000142,   84.248638
2016-05-24 24:00:00,   12.344160,    0.000102,   57.596390
2016-05-25 24:00:00,   12.616759,    0.000124,   94.297325
2016-05-26 24:00:00,   13.556188,    0.000138,   88.573245
2016-05-27 24:00:00,   14.258299,    0.000126,   76.242985
2016-05-28 24:00:00,   14.516820,    0.000137,  109.478026
2016-05-29 24:00:00,   14.537715,    0.000162,  117.570688
2016-05-30 24:00:00,   14.053365,    0.000156,   91.714663
2016-05-31 24:00:00,   13.973741,    0.000169,   87.752256
2016-06-01 24:00:00,   12.811758,    0.000135,   61.003420
2016-06-02 24:00:00,    9.147447,    0.000044,   22.192559
2016-06-03 24:00:00,    8.962842,    0.000050,   25.852469
2016-06-04 24:00:00,    8.997019,    0.000058,   36.963404
2016-06-05 24:00:00,    9.297680,    0.000075,   45.626365
2016-06-06 24:00:00,    9.936154,    0.000059,   32.365934
2016-06-07 24:00:00,    9.902725,    0.000084,   44.617982
2016-06-08 24:00:00,   11.451869,    0.000077,   41.537348
2016-06-09 24:00:00,   11.996566,    0.000087,   48.048700
2016-06-10 24:00:00,   12.366325,    0.000093,   85.658797
2016-06-11 24:00:00,   12.490418,    0.000093,   85.240622
2016-06-12 24:00:00,   12.709674,    0.000094,   86.746357
2016-06-13 24:00:00,   12.832781,    0.000093,   86.437929
2016-06-14 24:00:00,   13.121965,    0.000094,   87.750045
