time,temp,salt,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,SIL_rsi,OGM_don,OGM_pon
2016-01-01 24:00:00,   10.909937,    0.500000,   88.484969,    6.090773,  138.701490,    0.671881,   71.052260,   13.743294,   38.346801
2016-01-02 24:00:00,   10.642589,    0.496137,   99.655968,    5.609416,  138.449126,    0.660923,   70.705611,   14.236934,   32.556894
2016-01-03 24:00:00,   10.051364,    0.494558,  131.829941,    5.145705,  138.597987,    0.638739,   70.496308,   14.663471,   27.711929
2016-01-04 24:00:00,    9.493708,    0.492682,  217.527665,    4.646099,  138.849673,    0.606118,   70.235322,   15.026547,   23.595749
2016-01-05 24:00:00,    8.950673,    0.488624,  230.797358,    4.198148,  138.625424,    0.564995,   69.774826,   15.268517,   20.076990
2016-01-06 24:00:00,    8.513621,    0.490018,  240.861553,    3.808532,  138.539498,    0.528063,   69.431747,   15.483490,   17.285667
2016-01-07 24:00:00,    7.743731,    0.483674,  238.694446,    3.479158,  138.402051,    0.495445,   69.085373,   15.633141,   14.674300
2016-01-08 24:00:00,    7.314720,    0.480079,  244.401021,    3.181206,  137.960885,    0.459384,   68.620212,   15.721646,   12.582178
2016-01-09 24:00:00,    6.912348,    0.477494,  246.302840,    2.924722,  137.767944,    0.439500,   68.297621,   15.810619,   10.830035
2016-01-10 24:00:00,    6.496348,    0.472817,  279.644544,    2.679128,  136.954546,    0.395402,   67.660405,   15.800955,    9.292021
2016-01-11 24:00:00,    6.109882,    0.468101,  305.492109,    2.453998,  136.029403,    0.355928,   66.997049,   15.763034,    7.982781
2016-01-12 24:00:00,    5.736174,    0.461815,  323.237148,    2.245271,  134.673790,    0.309559,   66.097502,   15.649770,    6.842670
2016-01-13 24:00:00,    5.741048,    0.461815,  322.607654,    2.084115,  135.087826,    0.311391,   66.104627,   15.762280,    6.758091
2016-01-14 24:00:00,    5.731783,    0.461815,  321.977642,    1.937737,  135.504768,    0.313399,   66.112840,   15.872676,    6.673811
2016-01-15 24:00:00,    5.740348,    0.461815,  321.401503,    1.801988,  135.726299,    0.314971,   66.120153,   15.980654,    6.567530
2016-01-16 24:00:00,    5.729610,    0.461815,  320.832618,    1.678202,  136.103640,    0.316534,   66.128091,   16.065739,    5.800524
2016-01-17 24:00:00,    5.717936,    0.461815,  320.277502,    1.565101,  136.521113,    0.315981,   66.136377,   16.118955,    4.413015
2016-01-18 24:00:00,    5.704166,    0.461815,  319.737609,    1.461653,  136.936857,    0.311217,   66.144898,   16.155213,    3.194591
2016-01-19 24:00:00,    5.690778,    0.461815,  319.205840,    1.367259,  137.359627,    0.302302,   66.153765,   16.182376,    2.312598
2016-01-20 24:00:00,    5.675329,    0.461815,  318.693328,    1.280606,  137.769732,    0.291073,   66.162603,   16.202845,    1.675118
2016-01-21 24:00:00,    5.677546,    0.461815,  318.395297,    1.193570,  137.872486,    0.261145,   66.164525,   16.176118,    1.047294
2016-01-22 24:00:00,    5.671528,    0.461815,  317.922570,    1.120756,  138.247614,    0.248580,   66.173169,   16.187967,    0.786780
2016-01-23 24:00:00,    5.686271,    0.461815,  317.452637,    1.053894,  138.463151,    0.235865,   66.181868,   16.197634,    0.598313
2016-01-24 24:00:00,    5.680082,    0.461815,  317.001900,    0.992831,  138.946195,    0.219288,   66.190831,   16.205261,    0.450337
2016-01-25 24:00:00,    5.676929,    0.461815,  316.552770,    0.936568,  139.140925,    0.203610,   66.199723,   16.211769,    0.343648
2016-01-26 24:00:00,    5.681729,    0.461815,  316.105060,    0.885034,  139.462632,    0.190864,   66.208758,   16.216480,    0.263697
2016-01-27 24:00:00,    5.678819,    0.461815,  315.976660,    0.829202,  139.512936,    0.153481,   66.207326,   16.174704,    0.189280
2016-01-28 24:00:00,    5.662709,    0.461815,  315.549372,    0.786822,  139.838915,    0.140339,   66.216606,   16.178487,    0.158820
2016-01-29 24:00:00,    5.670410,    0.461815,  315.143659,    0.747602,  140.145408,    0.129573,   66.225828,   16.181960,    0.136246
2016-01-30 24:00:00,    5.673201,    0.461815,  314.751440,    0.711600,  140.429224,    0.119467,   66.234901,   16.183851,    0.119303
2016-01-31 24:00:00,    5.020609,    0.400418,  292.110181,    0.632913,  124.069708,    0.097429,   57.423573,   14.049337,    0.280797
2016-02-01 24:00:00,    4.746839,    0.396519,  311.691965,    0.603955,  123.431853,    0.094453,   56.956337,   13.942740,    0.255445
2016-02-02 24:00:00,    4.487395,    0.392029,  325.655478,    0.574822,  122.412050,    0.087476,   56.312089,   13.792135,    0.231999
2016-02-03 24:00:00,    4.259907,    0.389343,  332.721969,    0.550294,  121.977557,    0.084985,   55.941487,   13.708149,    0.212100
2016-02-04 24:00:00,    4.058336,    0.387311,  348.502625,    0.525207,  121.673519,    0.083259,   55.667033,   13.647691,    0.194027
2016-02-05 24:00:00,    3.920168,    0.385814,  351.089742,    0.508771,  121.684382,    0.083098,   55.460064,   13.601969,    0.178422
2016-02-06 24:00:00,    3.752223,    0.382907,  360.543545,    0.489042,  121.544634,    0.082275,   55.140913,   13.529436,    0.163506
2016-02-07 24:00:00,    3.814630,    0.382907,  360.218654,    0.475395,  121.951295,    0.084673,   55.147439,   13.535180,    0.157917
2016-02-08 24:00:00,    3.574863,    0.375082,  364.712120,    0.454291,  120.265662,    0.077850,   54.249052,   13.319167,    0.135202
2016-02-09 24:00:00,    3.393758,    0.372833,  368.448518,    0.440440,  119.966421,    0.076651,   53.950513,   13.248734,    0.122649
2016-02-10 24:00:00,    3.242138,    0.370004,  387.793611,    0.426751,  119.644702,    0.076120,   53.639696,   13.175300,    0.111504
2016-02-11 24:00:00,    3.096191,    0.366063,  391.610386,    0.413509,  119.392734,    0.075909,   53.262798,   13.085418,    0.101343
2016-02-12 24:00:00,    3.003077,    0.364773,  393.750810,    0.403256,  119.434386,    0.076106,   53.097051,   13.046871,    0.092608
2016-02-13 24:00:00,    2.956658,    0.362610,  400.676822,    0.392618,  119.340017,    0.076309,   52.867145,   12.993014,    0.084758
2016-02-14 24:00:00,    2.873294,    0.359512,  401.319477,    0.381978,  119.025590,    0.075576,   52.538306,   12.914970,    0.077611
2016-02-15 24:00:00,    2.810574,    0.356941,  406.524261,    0.372766,  118.809895,    0.075052,   52.252624,   12.846919,    0.071297
2016-02-16 24:00:00,    2.827671,    0.355538,  407.234757,    0.361322,  118.652753,    0.073733,   52.042440,   12.798230,    0.064771
2016-02-17 24:00:00,    3.076062,    0.355699,  406.718155,    0.358970,  119.305419,    0.077321,   52.072318,   12.806856,    0.063922
2016-02-18 24:00:00,    2.789402,    0.349115,  399.719076,    0.346382,  117.385443,    0.065624,   51.047456,   12.558104,    0.055379
2016-02-19 24:00:00,    2.702326,    0.345863,  403.097234,    0.339471,  116.861394,    0.064032,   50.628215,   12.456812,    0.051657
2016-02-20 24:00:00,    2.667883,    0.340621,  406.001578,    0.331562,  115.784774,    0.060046,   49.971325,   12.296614,    0.047884
2016-02-21 24:00:00,    2.744362,    0.338229,  414.641097,    0.325664,  115.437385,    0.058760,   49.627819,   12.213618,    0.044801
2016-02-22 24:00:00,    2.805239,    0.336452,  416.145797,    0.320586,  115.295326,    0.058326,   49.370476,   12.151866,    0.042064
2016-02-23 24:00:00,    2.839283,    0.334989,  416.237354,    0.315979,  115.270856,    0.058432,   49.161056,   12.102314,    0.039652
2016-02-24 24:00:00,    2.799278,    0.333453,  414.820258,    0.311910,  115.272581,    0.058859,   48.960376,   12.055049,    0.037514
2016-02-25 24:00:00,    2.737643,    0.331531,  413.792642,    0.308689,  115.224315,    0.059549,   48.738714,   12.002143,    0.036128
2016-02-26 24:00:00,    2.720729,    0.330337,  414.519750,    0.306273,  115.326302,    0.060517,   48.581323,   11.964477,    0.034279
2016-02-27 24:00:00,    2.784768,    0.330296,  414.007164,    0.310533,  115.979791,    0.064120,   48.588741,   11.964784,    0.035776
2016-02-28 24:00:00,    2.846139,    0.330296,  413.503378,    0.314055,  116.630062,    0.067532,   48.600281,   11.966241,    0.037249
2016-02-29 24:00:00,    2.484826,    0.321641,  411.077612,    0.296235,  114.661306,    0.063378,   47.749374,   11.762993,    0.029822
2016-03-01 24:00:00,    2.522332,    0.319825,  414.570199,    0.294315,  114.569188,    0.063293,   47.514244,   11.705862,    0.027649
2016-03-02 24:00:00,    2.521803,    0.317336,  416.505099,    0.291820,  114.306561,    0.062675,   47.207801,   11.631844,    0.026330
2016-03-03 24:00:00,    2.511909,    0.315392,  416.719427,    0.290213,  114.241300,    0.063399,   46.983705,   11.577861,    0.025436
2016-03-04 24:00:00,    2.524155,    0.310386,  414.037652,    0.287473,  113.596002,    0.064110,   46.522486,   11.465130,    0.024152
2016-03-05 24:00:00,    2.573812,    0.308122,  415.745257,    0.286093,  113.486067,    0.064940,   46.280596,   11.406367,    0.022781
2016-03-06 24:00:00,    2.590106,    0.305308,  413.982165,    0.284466,  113.272785,    0.065819,   45.996230,   11.337571,    0.021802
