time,temp,salt,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,SIL_rsi,OGM_don,OGM_pon
2016-01-01 24:00:00,   11.017060,    0.500000,   88.753491,    6.031143,  138.419701,    0.658163,   71.016241,   13.768669,   39.296877
2016-01-02 24:00:00,   10.642589,    0.496137,   99.957384,    5.558006,  138.158821,    0.649072,   70.672584,   14.238148,   32.559246
2016-01-03 24:00:00,   10.051364,    0.494558,  132.127065,    5.106439,  138.281095,    0.629916,   70.471389,   14.664544,   27.714068
2016-01-04 24:00:00,    9.493708,    0.492682,  217.847297,    4.619509,  138.482367,    0.600692,   70.218753,   15.027556,   23.597698
2016-01-05 24:00:00,    8.950673,    0.488624,  231.104098,    4.174073,  138.264788,    0.560315,   69.759728,   15.269434,   20.078770
2016-01-06 24:00:00,    8.513621,    0.490018,  241.120637,    3.788844,  138.236574,    0.524499,   69.419285,   15.484176,   17.286927
2016-01-07 24:00:00,    7.743731,    0.483674,  238.929537,    3.461191,  138.131074,    0.492352,   69.073863,   15.633759,   14.675409
2016-01-08 24:00:00,    7.314720,    0.480079,  244.597478,    3.166559,  137.735153,    0.456998,   68.610722,   15.722157,   12.583082
2016-01-09 24:00:00,    6.912348,    0.477494,  246.451338,    2.913900,  137.588296,    0.437679,   68.290625,   15.810995,   10.830749
2016-01-10 24:00:00,    6.496348,    0.472817,  279.770063,    2.671068,  136.796332,    0.394120,   67.655190,   15.801257,    9.292614
2016-01-11 24:00:00,    6.109882,    0.468101,  305.563500,    2.449675,  135.943735,    0.355329,   66.994145,   15.763192,    7.983049
2016-01-12 24:00:00,    5.736174,    0.461815,  323.313020,    2.240808,  134.588374,    0.309035,   66.094357,   15.649938,    6.842913
2016-01-13 24:00:00,    5.741048,    0.461815,  322.679903,    2.079959,  135.004128,    0.310366,   66.101677,   15.762540,    6.766400
2016-01-14 24:00:00,    5.740871,    0.461815,  322.196413,    1.926223,  135.268295,    0.310856,   66.104758,   15.870357,    6.483257
2016-01-15 24:00:00,    5.740348,    0.461815,  321.471237,    1.798004,  135.795440,    0.312208,   66.117386,   15.927696,    3.133983
2016-01-16 24:00:00,    5.729610,    0.461815,  320.847868,    1.677253,  136.246254,    0.301862,   66.127205,   15.985742,    0.614622
2016-01-17 24:00:00,    5.759477,    0.461815,  321.094531,    1.528224,  135.806958,    0.251065,   66.106961,   15.905343,    0.085967
2016-01-18 24:00:00,    5.750210,    0.461815,  320.710790,    1.419428,  136.025328,    0.207434,   66.110134,   15.912266,    0.083096
2016-01-19 24:00:00,    5.735639,    0.461815,  320.327229,    1.320700,  136.262886,    0.174630,   66.113945,   15.918709,    0.082387
2016-01-20 24:00:00,    5.698946,    0.461815,  319.923251,    1.232574,  136.542952,    0.146545,   66.119269,   15.924658,    0.081696
2016-01-21 24:00:00,    5.677546,    0.461815,  318.377410,    1.194755,  137.977553,    0.192138,   66.164853,   16.161925,    0.122155
2016-01-22 24:00:00,    5.671528,    0.461815,  317.874440,    1.123674,  138.367597,    0.177505,   66.174408,   16.177656,    0.114142
2016-01-23 24:00:00,    5.686271,    0.461815,  317.387776,    1.058347,  138.741004,    0.156323,   66.184140,   16.190133,    0.101461
2016-01-24 24:00:00,    5.680082,    0.461815,  316.930226,    0.997481,  139.069302,    0.149359,   66.193343,   16.200306,    0.102340
2016-01-25 24:00:00,    5.676929,    0.461815,  316.477660,    0.941656,  139.426383,    0.142657,   66.202603,   16.207840,    0.088571
2016-01-26 24:00:00,    5.681729,    0.461815,  316.041587,    0.890215,  139.755668,    0.124682,   66.211558,   16.214525,    0.089961
2016-01-27 24:00:00,    5.678819,    0.461815,  315.899358,    0.834555,  139.807568,    0.116630,   66.210351,   16.173436,    0.105868
2016-01-28 24:00:00,    5.662709,    0.461815,  315.488778,    0.791625,  140.103071,    0.087745,   66.219380,   16.176980,    0.073328
2016-01-29 24:00:00,    5.670410,    0.461815,  315.077985,    0.752918,  140.413599,    0.083777,   66.228941,   16.180836,    0.074333
2016-01-30 24:00:00,    5.673201,    0.461815,  314.685335,    0.717088,  140.701417,    0.066808,   66.238111,   16.183031,    0.076222
2016-01-31 24:00:00,    5.020609,    0.400418,  292.035812,    0.637598,  124.355984,    0.098095,   57.425988,   14.049199,    0.280388
2016-02-01 24:00:00,    4.746839,    0.396519,  311.619674,    0.608224,  123.717916,    0.095065,   56.958444,   13.942618,    0.255071
2016-02-02 24:00:00,    4.487395,    0.392029,  325.586613,    0.578764,  122.696367,    0.088025,   56.313870,   13.792034,    0.231656
2016-02-03 24:00:00,    4.259907,    0.389343,  332.653393,    0.554112,  122.260346,    0.085519,   55.943249,   13.708055,    0.211786
2016-02-04 24:00:00,    4.058336,    0.387311,  348.450029,    0.528206,  121.940557,    0.083702,   55.667857,   13.647646,    0.193762
2016-02-05 24:00:00,    3.920168,    0.385814,  351.031931,    0.512037,  121.966369,    0.083591,   55.460984,   13.601928,    0.178163
2016-02-06 24:00:00,    3.752223,    0.382907,  360.482850,    0.492276,  121.653477,    0.082770,   55.142047,   13.529395,    0.163284
2016-02-07 24:00:00,    3.814630,    0.382907,  360.160296,    0.477934,  122.092550,    0.085072,   55.148374,   13.535145,    0.157749
2016-02-08 24:00:00,    3.574863,    0.375082,  364.667465,    0.456680,  120.468429,    0.078223,   54.249803,   13.319143,    0.135046
2016-02-09 24:00:00,    3.393758,    0.372833,  368.407845,    0.442680,  120.196525,    0.077009,   53.951009,   13.248727,    0.122520
2016-02-10 24:00:00,    3.242138,    0.370004,  387.756036,    0.428771,  119.905188,    0.076454,   53.639915,   13.175310,    0.111399
2016-02-11 24:00:00,    3.096191,    0.366063,  391.597679,    0.414225,  119.420624,    0.076032,   53.262803,   13.085441,    0.101341
2016-02-12 24:00:00,    3.003077,    0.364773,  393.693691,    0.406187,  119.542901,    0.076613,   53.097692,   13.046918,    0.092578
2016-02-13 24:00:00,    2.956658,    0.362610,  400.627186,    0.395320,  119.446608,    0.076796,   52.867175,   12.993095,    0.084755
2016-02-14 24:00:00,    2.873294,    0.359512,  401.309767,    0.382802,  119.064027,    0.075735,   52.537596,   12.915045,    0.077644
2016-02-15 24:00:00,    2.810574,    0.356941,  406.560341,    0.371673,  118.783913,    0.074872,   52.250509,   12.847018,    0.071365
2016-02-16 24:00:00,    2.828179,    0.355499,  407.401977,    0.356096,  118.475960,    0.072796,   52.030847,   12.797011,    0.064914
2016-02-17 24:00:00,    3.076062,    0.355699,  406.842185,    0.354414,  119.163779,    0.076496,   52.067145,   12.807018,    0.064040
2016-02-18 24:00:00,    2.789402,    0.349115,  399.833758,    0.341826,  117.240433,    0.064870,   51.043253,   12.558229,    0.055517
2016-02-19 24:00:00,    2.702326,    0.345863,  403.208646,    0.335017,  116.716525,    0.063298,   50.624308,   12.456921,    0.051786
2016-02-20 24:00:00,    2.667883,    0.340621,  406.114246,    0.327118,  115.639489,    0.059339,   49.967316,   12.296723,    0.048004
2016-02-21 24:00:00,    2.744362,    0.338229,  414.756608,    0.321222,  115.289162,    0.058053,   49.623702,   12.213728,    0.044914
2016-02-22 24:00:00,    2.805239,    0.336452,  416.268875,    0.315990,  115.143904,    0.057585,   49.365774,   12.151995,    0.042171
2016-02-23 24:00:00,    2.839283,    0.334989,  416.365596,    0.311262,  115.001982,    0.057654,   49.155962,   12.102454,    0.039753
2016-02-24 24:00:00,    2.799278,    0.333453,  414.951270,    0.307281,  115.025773,    0.058071,   48.955914,   12.055721,    0.038904
2016-02-25 24:00:00,    2.737643,    0.331531,  413.911924,    0.304074,  114.999015,    0.058741,   48.734484,   12.002242,    0.036219
2016-02-26 24:00:00,    2.720729,    0.330337,  414.645040,    0.301552,  115.111780,    0.059668,   48.576568,   11.964594,    0.034366
2016-02-27 24:00:00,    2.784768,    0.330296,  414.133120,    0.305996,  115.724895,    0.060159,   48.584102,   11.965161,    0.029329
2016-02-28 24:00:00,    2.541899,    0.325211,  412.805873,    0.289603,  114.535525,    0.057780,   48.073432,   11.843680,    0.024792
2016-02-29 24:00:00,    2.484826,    0
